"";"ANNEE";"DEPARTEMENT";"Age";"Qmort";"Survie";"EdVieRes"
"372";1806;"COTES-DU-NORD";55;0,1182;0,354;6,765
"373";1806;"COTES-DU-NORD";60;0,1676;0,313;4,995
"374";1806;"COTES-DU-NORD";65;0,2391;0,26;3,43
"375";1806;"COTES-DU-NORD";70;0,3436;0,198;2,13
"376";1806;"COTES-DU-NORD";75;0,4609;0,13;1,14
"377";1806;"COTES-DU-NORD";80;0,5961;0,07;0,49
"378";1806;"COTES-DU-NORD";85;0,7539;0,028;0,14
"379";1806;"CREUSE";0;0,4526;1;30,71
"380";1806;"CREUSE";10;0,0386;0,513;22,975
"381";1806;"CREUSE";15;0,0534;0,493;20,41
"382";1806;"CREUSE";20;0,0682;0,467;17,945
"383";1806;"CREUSE";25;0,0724;0,435;15,61
"384";1806;"CREUSE";30;0,0758;0,403;13,435
"385";1806;"CREUSE";35;0,0781;0,373;11,42
"386";1806;"CREUSE";40;0,0795;0,344;9,555
"387";1806;"CREUSE";45;0,0823;0,316;7,835
"388";1806;"CREUSE";5;0,0632;0,547;25,71
"389";1806;"CREUSE";50;0,0997;0,29;6,255
"390";1806;"CREUSE";55;0,1311;0,261;4,805
"391";1806;"CREUSE";60;0,1836;0,227;3,5
"392";1806;"CREUSE";65;0,2584;0,185;2,365
"393";1806;"CREUSE";70;0,3655;0,138;1,44
"394";1806;"CREUSE";75;0,4811;0,087;0,75
"395";1806;"CREUSE";80;0,6116;0,045;0,315
"396";1806;"CREUSE";85;0,7647;0,018;0,09
"397";1806;"DORDOGNE";0;0,2992;1;42,12
"398";1806;"DORDOGNE";10;0,0252;0,674;33,615
"399";1806;"DORDOGNE";15;0,0364;0,657;30,245
"400";1806;"DORDOGNE";20;0,0471;0,633;26,96
"401";1806;"DORDOGNE";25;0,0507;0,603;23,795
"402";1806;"DORDOGNE";30;0,0539;0,572;20,78
"403";1806;"DORDOGNE";35;0,0572;0,542;17,92
"404";1806;"DORDOGNE";40;0,0606;0,511;15,21
"405";1806;"DORDOGNE";45;0,0662;0,48;12,655
"406";1806;"DORDOGNE";5;0,0388;0,701;37,12
"407";1806;"DORDOGNE";50;0,0828;0,448;10,255
"408";1806;"DORDOGNE";55;0,1108;0,411;8,015
"409";1806;"DORDOGNE";60;0,1583;0,365;5,96
"410";1806;"DORDOGNE";65;0,2277;0,307;4,135
"411";1806;"DORDOGNE";70;0,3305;0,237;2,6
"412";1806;"DORDOGNE";75;0,4486;0,159;1,415
"413";1806;"DORDOGNE";80;0,5865;0,088;0,62
"414";1806;"DORDOGNE";85;0,7472;0,036;0,18
"415";1806;"DOUBS";0;0,256;1;45,86
"416";1806;"DOUBS";10;0,0215;0,72;37,14
"417";1806;"DOUBS";15;0,0315;0,704;33,54
"418";1806;"DOUBS";20;0,041;0,682;30,02
"419";1806;"DOUBS";25;0,0444;0,654;26,61
"420";1806;"DOUBS";30;0,0474;0,625;23,34
"421";1806;"DOUBS";35;0,0509;0,596;20,215
"422";1806;"DOUBS";40;0,0547;0,565;17,235
"423";1806;"DOUBS";45;0,061;0,534;14,41
"424";1806;"DOUBS";5;0,0323;0,744;40,86
"425";1806;"DOUBS";50;0,0772;0,502;11,74
"426";1806;"DOUBS";55;0,104;0,463;9,23
